Port# , Lane# , PRE3 , PRE2 , PRE , MAIN , POST , POST2
44,4,0,0,-4,142,-15,0
44,5,0,0,-11,137,-19,0
44,6,0,0,-5,163,0,0
44,7,0,0,-5,158,-5,0
44,8,0,0,0,125,-16,0
45,1,0,0,0,168,0,0
45,2,0,0,-14,148,0,0
45,3,0,0,-17,142,-9,0
45,4,0,0,-13,143,-8,0
45,5,0,0,-5,163,0,0
45,6,0,0,0,161,0,0
45,7,0,0,0,168,0,0
45,8,0,0,0,120,0,0
46,1,0,2,-4,137,-18,0
46,2,0,0,-12,143,-12,0
46,3,0,0,-23,141,0,0
46,4,0,0,0,156,-5,0
46,5,0,0,-14,147,0,0
46,6,0,0,-14,148,0,0
46,7,0,0,-19,128,-11,0
46,8,0,2,-4,138,-18,0
47,1,0,2,-9,152,-5,0
47,2,0,6,-15,119,-4,0
47,3,0,0,-19,131,-12,0
47,4,0,0,-14,148,0,0
47,5,0,0,-28,142,0,0
47,6,0,0,-13,144,-4,0
47,7,0,0,-18,143,0,0
47,8,0,6,-16,137,-8,0
48,1,0,0,-8,141,-12,0
48,2,0,0,-24,145,0,0
48,3,0,0,-22,139,0,0
48,4,0,0,-14,149,-5,0
48,5,0,4,0,151,-4,0
48,6,0,0,-19,149,0,0
48,7,0,0,-23,139,0,0
48,8,0,0,-12,104,-6,0
49,1,0,0,0,151,-16,0
49,2,0,0,-19,115,0,0
49,3,0,0,-14,153,0,0
49,4,0,0,-5,157,0,0
49,5,0,0,-5,163,0,0
49,6,0,0,-9,152,0,0
49,7,0,0,-9,148,-4,0
49,8,0,0,-3,104,-3,0
50,1,0,0,-14,132,-21,0
50,2,0,0,0,109,0,0
50,3,0,0,-21,139,-8,0
50,4,0,0,-23,139,0,0
50,5,0,0,-22,140,-4,0
50,6,0,0,-5,156,0,0
50,7,0,6,-28,122,-4,0
50,8,0,0,0,135,0,0
51,1,0,0,-20,133,-8,0
51,2,0,0,0,101,-8,0
51,3,0,0,-4,154,-9,0
51,4,0,0,-4,152,-4,0
51,5,0,0,-8,141,-19,0
51,6,0,0,-5,160,0,0
51,7,0,0,0,121,-16,0
51,8,0,0,0,137,-8,0
52,1,0,0,0,163,-5,0
52,2,0,0,-4,141,-4,0
52,3,0,0,0,161,0,0
52,4,0,0,-5,163,0,0
52,5,0,0,-5,155,-5,0
52,6,0,0,0,163,-5,0
52,7,0,0,-4,143,-15,0
52,8,0,4,-4,144,-8,0
53,1,0,2,-12,142,-12,0
53,2,0,0,-4,148,-8,0
53,3,0,0,-23,142,0,0
53,4,0,0,-11,136,-15,0
53,5,0,0,0,153,-9,0
53,6,0,0,0,153,-9,0
53,7,0,0,-5,157,0,0
53,8,0,0,-8,141,-12,0
54,1,0,0,0,156,-5,0
54,2,0,2,-12,139,-8,0
54,3,0,0,-20,135,-12,0
54,4,0,0,-14,148,0,0
54,5,0,0,-5,163,0,0
54,6,0,0,0,157,-5,0
54,7,0,0,-16,100,0,0
54,8,0,0,0,146,-16,0
55,1,0,6,-19,132,-12,0
55,2,0,4,-16,133,-8,0
55,3,0,2,0,162,-5,0
55,4,0,0,-9,154,-5,0
55,5,0,0,-4,148,-16,0
55,6,0,0,-20,133,-8,0
55,7,0,0,0,155,-13,0
55,8,0,0,-10,117,-16,0
56,1,0,4,0,153,-4,0
56,2,0,0,-4,152,-4,0
