chipId,name,value
0,lane_to_serdes_map_fabric_lane163,rx323:tx326
0,lane_to_serdes_map_fabric_lane416,rx324:tx323
0,lane_to_serdes_map_fabric_lane417,rx325:tx320
0,lane_to_serdes_map_fabric_lane418,rx326:tx321
0,lane_to_serdes_map_fabric_lane419,rx327:tx322
0,lane_to_serdes_map_fabric_lane164,rx328:tx335
0,lane_to_serdes_map_fabric_lane165,rx329:tx332
0,lane_to_serdes_map_fabric_lane166,rx330:tx333
0,lane_to_serdes_map_fabric_lane167,rx331:tx334
0,lane_to_serdes_map_fabric_lane420,rx332:tx331
0,lane_to_serdes_map_fabric_lane421,rx333:tx328
0,lane_to_serdes_map_fabric_lane422,rx334:tx329
0,lane_to_serdes_map_fabric_lane423,rx335:tx330
0,lane_to_serdes_map_fabric_lane168,rx336:tx340
0,lane_to_serdes_map_fabric_lane169,rx337:tx341
0,lane_to_serdes_map_fabric_lane170,rx338:tx342
0,lane_to_serdes_map_fabric_lane171,rx339:tx343
0,lane_to_serdes_map_fabric_lane424,rx340:tx336
0,lane_to_serdes_map_fabric_lane425,rx341:tx337
0,lane_to_serdes_map_fabric_lane426,rx342:tx338
0,lane_to_serdes_map_fabric_lane427,rx343:tx339
0,lane_to_serdes_map_fabric_lane172,rx344:tx348
0,lane_to_serdes_map_fabric_lane173,rx345:tx349
0,lane_to_serdes_map_fabric_lane174,rx346:tx350
0,lane_to_serdes_map_fabric_lane175,rx347:tx351
0,lane_to_serdes_map_fabric_lane428,rx348:tx344
0,lane_to_serdes_map_fabric_lane429,rx349:tx345
0,lane_to_serdes_map_fabric_lane430,rx350:tx346
0,lane_to_serdes_map_fabric_lane431,rx351:tx347
0,lane_to_serdes_map_fabric_lane176,rx352:tx359
0,lane_to_serdes_map_fabric_lane177,rx353:tx356
0,lane_to_serdes_map_fabric_lane178,rx354:tx357
0,lane_to_serdes_map_fabric_lane179,rx355:tx358
0,lane_to_serdes_map_fabric_lane432,rx356:tx355
0,lane_to_serdes_map_fabric_lane433,rx357:tx352
0,lane_to_serdes_map_fabric_lane434,rx358:tx353
0,lane_to_serdes_map_fabric_lane435,rx359:tx354
0,lane_to_serdes_map_fabric_lane180,rx360:tx367
0,lane_to_serdes_map_fabric_lane181,rx361:tx364
0,lane_to_serdes_map_fabric_lane182,rx362:tx365
0,lane_to_serdes_map_fabric_lane183,rx363:tx366
0,lane_to_serdes_map_fabric_lane436,rx364:tx363
0,lane_to_serdes_map_fabric_lane437,rx365:tx360
0,lane_to_serdes_map_fabric_lane438,rx366:tx361
0,lane_to_serdes_map_fabric_lane439,rx367:tx362
0,lane_to_serdes_map_fabric_lane184,rx368:tx372
0,lane_to_serdes_map_fabric_lane185,rx369:tx373
0,lane_to_serdes_map_fabric_lane186,rx370:tx374
0,lane_to_serdes_map_fabric_lane187,rx371:tx375
0,lane_to_serdes_map_fabric_lane440,rx372:tx368
0,lane_to_serdes_map_fabric_lane441,rx373:tx369
0,lane_to_serdes_map_fabric_lane442,rx374:tx370
0,lane_to_serdes_map_fabric_lane443,rx375:tx371
0,lane_to_serdes_map_fabric_lane188,rx376:tx380
0,lane_to_serdes_map_fabric_lane189,rx377:tx381
0,lane_to_serdes_map_fabric_lane190,rx378:tx382
0,lane_to_serdes_map_fabric_lane191,rx379:tx383
0,lane_to_serdes_map_fabric_lane444,rx380:tx376
0,lane_to_serdes_map_fabric_lane445,rx381:tx377
