Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID
2554,506,fab1/1/1,36-37-41-42,,,3
262,262,fab1/1/2,36-37-41-42,,,1
2296,248,fab1/1/3,36-37-41-42,,,2
4,4,fab1/1/4,36-37-41-42,,,0
2558,510,fab1/1/5,36-37-41-42,,,3
258,258,fab1/1/6,36-37-41-42,,,1
2300,252,fab1/1/7,36-37-41-42,,,2
0,0,fab1/1/8,36-37-41-42,,,0
2546,498,fab1/2/1,36-37-41-42,,,3
270,270,fab1/2/2,36-37-41-42,,,1
2288,240,fab1/2/3,36-37-41-42,,,2
12,12,fab1/2/4,36-37-41-42,,,0
2550,502,fab1/2/5,36-37-41-42,,,3
266,266,fab1/2/6,36-37-41-42,,,1
2292,244,fab1/2/7,36-37-41-42,,,2
8,8,fab1/2/8,36-37-41-42,,,0
2555,507,fab1/3/1,36-37-41-42,,,3
263,263,fab1/3/2,36-37-41-42,,,1
2297,249,fab1/3/3,36-37-41-42,,,2
5,5,fab1/3/4,36-37-41-42,,,0
2559,511,fab1/3/5,36-37-41-42,,,3
259,259,fab1/3/6,36-37-41-42,,,1
2301,253,fab1/3/7,36-37-41-42,,,2
1,1,fab1/3/8,36-37-41-42,,,0
2547,499,fab1/4/1,36-37-41-42,,,3
271,271,fab1/4/2,36-37-41-42,,,1
2289,241,fab1/4/3,36-37-41-42,,,2
13,13,fab1/4/4,36-37-41-42,,,0
2551,503,fab1/4/5,36-37-41-42,,,3
267,267,fab1/4/6,36-37-41-42,,,1
2293,245,fab1/4/7,36-37-41-42,,,2
9,9,fab1/4/8,36-37-41-42,,,0
2302,254,fab1/5/1,36-37-41-42,,,2
2,2,fab1/5/2,36-37-41-42,,,0
2556,508,fab1/5/3,36-37-41-42,,,3
256,256,fab1/5/4,36-37-41-42,,,1
2298,250,fab1/5/5,36-37-41-42,,,2
6,6,fab1/5/6,36-37-41-42,,,0
2552,504,fab1/5/7,36-37-41-42,,,3
260,260,fab1/5/8,36-37-41-42,,,1
2294,246,fab1/6/1,36-37-41-42,,,2
10,10,fab1/6/2,36-37-41-42,,,0
2548,500,fab1/6/3,36-37-41-42,,,3
264,264,fab1/6/4,36-37-41-42,,,1
2290,242,fab1/6/5,36-37-41-42,,,2
14,14,fab1/6/6,36-37-41-42,,,0
2544,496,fab1/6/7,36-37-41-42,,,3
268,268,fab1/6/8,36-37-41-42,,,1
2303,255,fab1/7/1,36-37-41-42,,,2
3,3,fab1/7/2,36-37-41-42,,,0
2557,509,fab1/7/3,36-37-41-42,,,3
257,257,fab1/7/4,36-37-41-42,,,1
2299,251,fab1/7/5,36-37-41-42,,,2
7,7,fab1/7/6,36-37-41-42,,,0
2553,505,fab1/7/7,36-37-41-42,,,3
261,261,fab1/7/8,36-37-41-42,,,1
2295,247,fab1/8/1,36-37-41-42,,,2
11,11,fab1/8/2,36-37-41-42,,,0
2549,501,fab1/8/3,36-37-41-42,,,3
265,265,fab1/8/4,36-37-41-42,,,1
2291,243,fab1/8/5,36-37-41-42,,,2
15,15,fab1/8/6,36-37-41-42,,,0
2545,497,fab1/8/7,36-37-41-42,,,3
269,269,fab1/8/8,36-37-41-42,,,1
2536,488,fab1/9/1,36-37-41-42,,,3
276,276,fab1/9/2,36-37-41-42,,,1
2280,232,fab1/9/3,36-37-41-42,,,2
20,20,fab1/9/4,36-37-41-42,,,0
2540,492,fab1/9/5,36-37-41-42,,,3
272,272,fab1/9/6,36-37-41-42,,,1
2284,236,fab1/9/7,36-37-41-42,,,2
16,16,fab1/9/8,36-37-41-42,,,0
2528,480,fab1/10/1,36-37-41-42,,,3
284,284,fab1/10/2,36-37-41-42,,,1
2272,224,fab1/10/3,36-37-41-42,,,2
28,28,fab1/10/4,36-37-41-42,,,0
2532,484,fab1/10/5,36-37-41-42,,,3
280,280,fab1/10/6,36-37-41-42,,,1
2276,228,fab1/10/7,36-37-41-42,,,2
24,24,fab1/10/8,36-37-41-42,,,0
2537,489,fab1/11/1,36-37-41-42,,,3
277,277,fab1/11/2,36-37-41-42,,,1
2281,233,fab1/11/3,36-37-41-42,,,2
21,21,fab1/11/4,36-37-41-42,,,0
2541,493,fab1/11/5,36-37-41-42,,,3
273,273,fab1/11/6,36-37-41-42,,,1
2285,237,fab1/11/7,36-37-41-42,,,2
17,17,fab1/11/8,36-37-41-42,,,0
2529,481,fab1/12/1,36-37-41-42,,,3
285,285,fab1/12/2,36-37-41-42,,,1
2273,225,fab1/12/3,36-37-41-42,,,2
29,29,fab1/12/4,36-37-41-42,,,0
2533,485,fab1/12/5,36-37-41-42,,,3
281,281,fab1/12/6,36-37-41-42,,,1
2277,229,fab1/12/7,36-37-41-42,,,2
25,25,fab1/12/8,36-37-41-42,,,0
2282,234,fab1/13/1,36-37-41-42,,,2
22,22,fab1/13/2,36-37-41-42,,,0
2538,490,fab1/13/3,36-37-41-42,,,3
278,278,fab1/13/4,36-37-41-42,,,1
2286,238,fab1/13/5,36-37-41-42,,,2
18,18,fab1/13/6,36-37-41-42,,,0
2542,494,fab1/13/7,36-37-41-42,,,3
274,274,fab1/13/8,36-37-41-42,,,1
2274,226,fab1/14/1,36-37-41-42,,,2
30,30,fab1/14/2,36-37-41-42,,,0
2530,482,fab1/14/3,36-37-41-42,,,3
286,286,fab1/14/4,36-37-41-42,,,1
2278,230,fab1/14/5,36-37-41-42,,,2
26,26,fab1/14/6,36-37-41-42,,,0
2534,486,fab1/14/7,36-37-41-42,,,3
282,282,fab1/14/8,36-37-41-42,,,1
2283,235,fab1/15/1,36-37-41-42,,,2
23,23,fab1/15/2,36-37-41-42,,,0
2539,491,fab1/15/3,36-37-41-42,,,3
279,279,fab1/15/4,36-37-41-42,,,1
2287,239,fab1/15/5,36-37-41-42,,,2
19,19,fab1/15/6,36-37-41-42,,,0
2543,495,fab1/15/7,36-37-41-42,,,3
275,275,fab1/15/8,36-37-41-42,,,1
2275,227,fab1/16/1,36-37-41-42,,,2
31,31,fab1/16/2,36-37-41-42,,,0
2531,483,fab1/16/3,36-37-41-42,,,3
287,287,fab1/16/4,36-37-41-42,,,1
2279,231,fab1/16/5,36-37-41-42,,,2
27,27,fab1/16/6,36-37-41-42,,,0
2535,487,fab1/16/7,36-37-41-42,,,3
283,283,fab1/16/8,36-37-41-42,,,1
2520,472,fab1/17/1,36-37-41-42,,,3
292,292,fab1/17/2,36-37-41-42,,,1
2264,216,fab1/17/3,36-37-41-42,,,2
36,36,fab1/17/4,36-37-41-42,,,0
2524,476,fab1/17/5,36-37-41-42,,,3
288,288,fab1/17/6,36-37-41-42,,,1
2268,220,fab1/17/7,36-37-41-42,,,2
32,32,fab1/17/8,36-37-41-42,,,0
2512,464,fab1/18/1,36-37-41-42,,,3
300,300,fab1/18/2,36-37-41-42,,,1
2256,208,fab1/18/3,36-37-41-42,,,2
44,44,fab1/18/4,36-37-41-42,,,0
2516,468,fab1/18/5,36-37-41-42,,,3
296,296,fab1/18/6,36-37-41-42,,,1
2260,212,fab1/18/7,36-37-41-42,,,2
40,40,fab1/18/8,36-37-41-42,,,0
2521,473,fab1/19/1,36-37-41-42,,,3
293,293,fab1/19/2,36-37-41-42,,,1
2265,217,fab1/19/3,36-37-41-42,,,2
37,37,fab1/19/4,36-37-41-42,,,0
2525,477,fab1/19/5,36-37-41-42,,,3
289,289,fab1/19/6,36-37-41-42,,,1
2269,221,fab1/19/7,36-37-41-42,,,2
33,33,fab1/19/8,36-37-41-42,,,0
2513,465,fab1/20/1,36-37-41-42,,,3
301,301,fab1/20/2,36-37-41-42,,,1
2257,209,fab1/20/3,36-37-41-42,,,2
45,45,fab1/20/4,36-37-41-42,,,0
2517,469,fab1/20/5,36-37-41-42,,,3
297,297,fab1/20/6,36-37-41-42,,,1
2261,213,fab1/20/7,36-37-41-42,,,2
41,41,fab1/20/8,36-37-41-42,,,0
2266,218,fab1/21/1,36-37-41-42,,,2
38,38,fab1/21/2,36-37-41-42,,,0
2522,474,fab1/21/3,36-37-41-42,,,3
294,294,fab1/21/4,36-37-41-42,,,1
2270,222,fab1/21/5,36-37-41-42,,,2
34,34,fab1/21/6,36-37-41-42,,,0
2526,478,fab1/21/7,36-37-41-42,,,3
290,290,fab1/21/8,36-37-41-42,,,1
2258,210,fab1/22/1,36-37-41-42,,,2
46,46,fab1/22/2,36-37-41-42,,,0
2514,466,fab1/22/3,36-37-41-42,,,3
302,302,fab1/22/4,36-37-41-42,,,1
2262,214,fab1/22/5,36-37-41-42,,,2
42,42,fab1/22/6,36-37-41-42,,,0
2518,470,fab1/22/7,36-37-41-42,,,3
298,298,fab1/22/8,36-37-41-42,,,1
2267,219,fab1/23/1,36-37-41-42,,,2
