TcvrId,TcvrLaneIdList,PimId,AccessControllerId,AccessControlType,ResetPath,ResetMask,ResetHoldHi,PresentPath,PresentMask,PresentHoldHi,IoControllerId,IoControlType,IoPath,LedId,LedBluePath,LedYellowPath
47,1 2 3 4,1,47,CPLD,/run/devmap/xcvrs/xcvr_ctrl_47/xcvr47_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_47/xcvr47_present,1,0,47,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS8_CH6,93,/sys/class/leds/port47_led1:blue:status,/sys/class/leds/port47_led1:yellow:status
47,1 2 3 4,1,47,CPLD,/run/devmap/xcvrs/xcvr_ctrl_47/xcvr47_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_47/xcvr47_present,1,0,47,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS8_CH6,94,/sys/class/leds/port47_led2:blue:status,/sys/class/leds/port47_led2:yellow:status
48,1 2 3 4,1,48,CPLD,/run/devmap/xcvrs/xcvr_ctrl_48/xcvr48_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_48/xcvr48_present,1,0,48,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS8_CH7,95,/sys/class/leds/port48_led1:blue:status,/sys/class/leds/port48_led1:yellow:status
48,1 2 3 4,1,48,CPLD,/run/devmap/xcvrs/xcvr_ctrl_48/xcvr48_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_48/xcvr48_present,1,0,48,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS8_CH7,96,/sys/class/leds/port48_led2:blue:status,/sys/class/leds/port48_led2:yellow:status
49,1 2 3 4,1,49,CPLD,/run/devmap/xcvrs/xcvr_ctrl_49/xcvr49_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_49/xcvr49_present,1,0,49,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS9_CH0,97,/sys/class/leds/port49_led1:blue:status,/sys/class/leds/port49_led1:yellow:status
49,1 2 3 4,1,49,CPLD,/run/devmap/xcvrs/xcvr_ctrl_49/xcvr49_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_49/xcvr49_present,1,0,49,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS9_CH0,98,/sys/class/leds/port49_led2:blue:status,/sys/class/leds/port49_led2:yellow:status
50,1 2 3 4,1,50,CPLD,/run/devmap/xcvrs/xcvr_ctrl_50/xcvr50_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_50/xcvr50_present,1,0,50,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS9_CH1,99,/sys/class/leds/port50_led1:blue:status,/sys/class/leds/port50_led1:yellow:status
50,1 2 3 4,1,50,CPLD,/run/devmap/xcvrs/xcvr_ctrl_50/xcvr50_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_50/xcvr50_present,1,0,50,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS9_CH1,100,/sys/class/leds/port50_led2:blue:status,/sys/class/leds/port50_led2:yellow:status
51,1 2 3 4,1,51,CPLD,/run/devmap/xcvrs/xcvr_ctrl_51/xcvr51_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_51/xcvr51_present,1,0,51,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS9_CH2,101,/sys/class/leds/port51_led1:blue:status,/sys/class/leds/port51_led1:yellow:status
51,1 2 3 4,1,51,CPLD,/run/devmap/xcvrs/xcvr_ctrl_51/xcvr51_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_51/xcvr51_present,1,0,51,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS9_CH2,102,/sys/class/leds/port51_led2:blue:status,/sys/class/leds/port51_led2:yellow:status
52,1 2 3 4,1,52,CPLD,/run/devmap/xcvrs/xcvr_ctrl_52/xcvr52_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_52/xcvr52_present,1,0,52,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS9_CH3,103,/sys/class/leds/port52_led1:blue:status,/sys/class/leds/port52_led1:yellow:status
